,Trade Date,1 month expiration,1 month VIX,1 month SVIX,2 month expiration,2 month VIX,2 month SVIX,3 month expiration,3 month VIX,3 month SVIX
1,2021-01-15 00:00:00,2021-02-19 00:00:00,23.635667122818894,21.928884699689732,2021-03-19 00:00:00,25.784858577424362,23.150379200467047,2021-04-16 00:00:00,26.901556775129148,23.495280083597656
2,2021-02-19 00:00:00,2021-03-19 00:00:00,21.503559587567132,20.143817802740625,2021-04-16 00:00:00,24.533092979034915,21.993124476642286,2021-05-21 00:00:00,26.960690483526093,23.274157446253955
3,2021-03-19 00:00:00,2021-04-16 00:00:00,20.278634527155347,19.062053650805446,2021-05-21 00:00:00,24.252162261921857,21.943820978450947,2021-06-18 00:00:00,24.67560408197728,21.73739410063275
4,2021-04-16 00:00:00,2021-05-21 00:00:00,16.417660677268945,15.594963898574779,2021-06-18 00:00:00,18.79972131730635,17.296342249629966,2021-07-16 00:00:00,20.35423135719374,18.230138580224423
5,2021-05-21 00:00:00,2021-06-18 00:00:00,20.082735199303254,18.822531178980622,2021-07-16 00:00:00,21.89056700869933,19.76341569353591,2021-08-20 00:00:00,23.500380846155387,20.700285228762915
6,2021-06-18 00:00:00,2021-07-16 00:00:00,19.935514538978474,18.4165471050496,2021-08-20 00:00:00,21.43330361776405,19.069090710775942,2021-09-17 00:00:00,22.569208742578585,19.729614010611947
7,2021-07-16 00:00:00,2021-08-20 00:00:00,18.461914930385678,17.099746173544958,2021-09-17 00:00:00,20.611806455583743,18.480786554621854,2021-10-15 00:00:00,21.887509230701248,19.106815005990796
8,2021-08-20 00:00:00,2021-09-17 00:00:00,17.93436452315286,16.63631778631993,2021-10-15 00:00:00,20.266777456564228,18.27009849749508,2021-11-19 00:00:00,22.172288773784242,19.361917732281444
9,2021-09-17 00:00:00,2021-10-15 00:00:00,20.521596266927773,18.917920601250078,2021-11-19 00:00:00,22.08491664195134,19.74890052120296,2021-12-17 00:00:00,23.030351060943715,20.170766055852173
10,2021-10-15 00:00:00,2021-11-19 00:00:00,21.263760366723343,20.385686519465878,2021-12-17 00:00:00,19.65426108573169,18.07842637237999,2022-01-21 00:00:00,20.63364020990928,18.284778422617304
11,2021-11-19 00:00:00,2021-12-17 00:00:00,17.915398999109083,16.75309777936014,2022-01-21 00:00:00,20.57227941773331,18.531394431795,2022-02-18 00:00:00,21.97229135889545,19.2721509188407
12,2021-12-17 00:00:00,2022-01-21 00:00:00,19.203807263280158,17.432323255126107,2022-02-18 00:00:00,23.928838020727483,21.48430507079867,2022-03-18 00:00:00,25.384048733998565,22.141675532459697
